ds,yhat,yhat_lower,yhat_upper
2023-01-23,19582.122677207222,11697.838185555493,26741.52711753211
2023-01-24,20959.549473656345,13167.997102539746,28953.637419273444
2023-01-25,19778.923293840224,11902.017865455256,27784.703141118724
2023-01-26,20640.148321669512,12833.48771815764,28176.26638673653
2023-01-27,20398.46969228354,13508.05323714336,28152.738620281023
2023-01-28,20358.822947225308,13185.473437414728,27960.794077249026
2023-01-29,20243.02606601323,12498.354884799437,28044.699265534688
2023-01-30,19389.019402416186,12941.743622567223,27233.00731145346
2023-01-31,20715.97422014276,12960.271925771036,28267.366669725845
2023-02-01,19477.553519116267,12346.290271372409,27289.003830872534
2023-02-02,20274.194689347823,13501.009992554236,27911.329112602132
2023-02-03,19962.026812778582,12297.130687414152,27940.888626928056
2023-02-04,19847.208812088946,12279.550517823935,26793.447988611115
2023-02-05,19653.097730089245,11842.063687164347,27447.253382288134
2023-02-06,18719.45295756257,11739.53137075387,26696.787772667893
2023-02-07,19967.49799605599,12046.03277131154,27727.933636465328
2023-02-08,18653.124716275364,11247.715804856196,25888.160597182454
2023-02-09,19379.111261449172,12495.037344407236,26794.407032483992
2023-02-10,19003.96832413885,11837.565478164457,27256.882181934998
2023-02-11,18836.20214279384,11872.788154213606,26559.46165850242
2023-02-12,18601.405823222816,11179.211049734267,26281.62115059677
2023-02-13,17641.38722803457,10116.434312507336,25702.123663917297
2023-02-14,18879.157473771837,11279.14199959344,26211.73615664949
2023-02-15,17572.067401443237,10207.522679706735,25178.89705187978
2023-02-16,18323.96545021648,11144.314831213298,26280.71401639042
2023-02-17,17993.993745369626,10356.086288253371,25228.05375332164
2023-02-18,17890.81256385973,10276.634361901495,25753.08805352991
2023-02-19,17739.66627358165,10227.033728861425,25476.69969476119
2023-02-20,16881.500103199374,9331.466425548793,24302.327122446288
2023-02-21,18237.952478573538,10725.933811037408,25600.016413221387
2023-02-22,17064.51054308184,9963.608880686741,24809.391298180584
2023-02-23,17962.70208342891,10302.001621489104,25113.04747197011
2023-02-24,17788.94000409476,10007.031968856203,25492.493793695205
2023-02-25,17848.80839932667,11070.045088741826,24998.547361136392
2023-02-26,17864.201865980696,10698.126757594404,25393.776396727484
2023-02-27,17172.52509750134,9060.91706334713,24996.473956381597
2023-02-28,18691.776064538866,11288.898556768421,26058.033381254067
2023-03-01,17673.79708865115,10295.556502540043,25342.574596226954
2023-03-02,18716.564740309328,11726.77919179859,26279.67834873353
2023-03-03,18673.131814959997,10453.46796378932,26206.100877488105
2023-03-04,18846.007596134375,11526.904564468365,26310.35437803422
2023-03-05,18954.38518092221,11885.29082972049,26293.291974060336
2023-03-06,18333.420661837652,10377.823213716885,25834.990719998248
2023-03-07,19899.384229055926,12669.322737762399,27109.46006380243
2023-03-08,18902.96616655888,11427.230400314567,26386.170896795156
2023-03-09,19941.60648726456,12108.455601775408,26932.932507904337
2023-03-10,19868.460176000957,12382.512305910735,27462.25842262221
2023-03-11,19986.783344865264,12952.155636387435,28132.181899496474
2023-03-12,20017.14866566873,12454.168731874228,27885.58376735885
2023-03-13,19296.694973729303,11917.14899722647,26760.061455907984
2023-03-14,20744.23172141173,13237.14331725564,28446.817617095297
2023-03-15,19613.482370916303,12257.38202452191,27140.177224110033
2023-03-16,20505.33706142258,13631.327042879557,27943.07313174373
2023-03-17,20276.728542114015,13179.186481854174,28120.93581469953
2023-03-18,20234.91907620869,13493.137029661191,27793.314646809875
2023-03-19,20104.609392527735,12570.162900327801,27244.689653894035
2023-03-20,19227.077526274315,12401.774200171025,26816.697283865313
2023-03-21,20525.171326349562,12471.428967225946,27712.930208920698
2023-03-22,19256.441880375576,11750.292965867915,26519.933891269007
2023-03-23,20025.291325768438,12917.57640097234,28017.230777323657
2023-03-24,19691.752051322652,12438.389746035236,27218.845840412818
